Produto,Mes,Unidades,Segmento,Mes_Num,Data,Selic_Mes,PIB_Const_Index,Credito_Safra_Bi,Vendas_Lag1,Media_Movel_3M,Predicao_ML_Exog
Colheitadeieas de grãos,Abr,92.0,Agrícola,4,2024-04-01,10.75,102.1,15.4,382.0,308.3333333333333,215.34099999999998
Colheitadeieas de grãos,Mai,107.0,Agrícola,5,2024-05-01,10.5,102.3,12.8,92.0,257.0,156.66333333333333
Colheitadeieas de grãos,Jun,255.0,Agrícola,6,2024-06-01,10.5,103.1,14.2,107.0,193.66666666666666,215.6718333333333
Colheitadeieas de grãos,Jul,154.0,Agrícola,7,2024-07-01,10.5,103.5,45.8,255.0,151.33333333333334,194.1643333333333
Colheitadeieas de grãos,Ago,214.0,Agrícola,8,2024-08-01,10.5,104.0,38.5,154.0,172.0,219.4868333333333
Tratores de rodas,Abr,4364.0,Agrícola,4,2024-04-01,10.75,102.1,15.4,3705.0,2765.0,4080.4
Tratores de rodas,Mai,2745.0,Agrícola,5,2024-05-01,10.5,102.3,12.8,4364.0,3600.0,3175.18
Tratores de rodas,Jun,4176.0,Agrícola,6,2024-06-01,10.5,103.1,14.2,2745.0,3604.6666666666665,4130.49
Tratores de rodas,Jul,4501.0,Agrícola,7,2024-07-01,10.5,103.5,45.8,4176.0,3761.6666666666665,4374.125
Tratores de rodas,Ago,4594.0,Agrícola,8,2024-08-01,10.5,104.0,38.5,4501.0,3807.3333333333335,4238.515
Tratores de rodas e Colheitadeiras de grãos,Abr,515.0,Agrícola,4,2024-04-01,10.75,102.1,15.4,466.0,519.3333333333334,495.92
Tratores de rodas e Colheitadeiras de grãos,Mai,390.0,Agrícola,5,2024-05-01,10.5,102.3,12.8,515.0,459.6666666666667,423.59316666666666
Tratores de rodas e Colheitadeiras de grãos,Jun,383.0,Agrícola,6,2024-06-01,10.5,103.1,14.2,390.0,457.0,411.58416666666665
Tratores de rodas e Colheitadeiras de grãos,Jul,681.0,Agrícola,7,2024-07-01,10.5,103.5,45.8,383.0,429.3333333333333,585.1993333333334
